Accident,Route,Longitude,Latitude,sums,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Daily_Avg_Temp,Monthly_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Event,Conditions,EventBefore,ConditionBefore,Probability,Prediction
,33I0075001,-85.210866,35.001294,8,1.202,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,1,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,1,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,1,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,1,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,2,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,2,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,2,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,2,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,2,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,2,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,2,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,3,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,3,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,3,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,3,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,3,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,3,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,3,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,3,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,3,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,4,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,4,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,4,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,4,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,4,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,4,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,4,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,4,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,5,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,5,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,5,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,5,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,5,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,5,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,5,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,5,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,6,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,6,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,6,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,6,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,6,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,6,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,6,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,6,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,6,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,7,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,7,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,7,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,7,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,7,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,7,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,7,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
,33I0024002,-85.28069,35.016491,6,10.06,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,,,,,,
,3303580001,-85.166282,35.046274,6,1.538,,7,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33SR008001,-85.331318,35.094368,5,2.029,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,,,,,,
,3303601001,-85.200161,35.055348,5,0.679,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,,,,,,
,3304986001,-85.153824,35.041303,5,2.163,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,,,,,,
,3304986001,-85.158706,35.034528,5,1.464,,7,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,,,,,,
,3304428001,-85.24562,35.152975,9,0.551,,8,,,,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,,,,,,
,33I0075001,-85.200274,35.008246,9,0.136,,8,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,,,,,,
,33I0075001,-85.210866,35.001294,8,1.202,,8,,,,,,,,,,,,,,,,,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,330A702001,-85.26761,35.034727,7,0.092,,8,,,,,,,,,,,,,,,,,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,,,,,,
,33I0075001,-85.207205,35.005828,7,1.615,,8,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,,,,,,
,33SR320001,-85.163699,35.015214,7,2.607,,8,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,,,,,,
,33I0024002,-85.297892,35.021809,7,0.213,,8,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,,,,,,
,33I0024002,-85.237709,35.008661,6,1.391,,8,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,,,,,,
,3303603001,-85.181912,35.016889,6,0.002,,8,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,,,,,,
,330D228001,-85.197621,35.083886,6,0.059,,8,,,,,,,,,,,,,,,,,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,,,,,,
,3303580001,-85.162464,35.044885,6,1.695,,8,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,,,,,,
,33I0024002,-85.254192,35.015818,6,1.039,,8,,,,,,,,,,,,,,,,,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,,,,,,
