Accident,Latitude,Longitude,Date,Year,Time,Address,Route,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,DayFrame
1,35.0097,-85.283789,4/22/18,,0:58:43,St Elmo Ave / Tennessee Ave,3303572001,0.69,,0,59.95,60.77,57.56,41.72,0.51,4,6,6.85,0.93,0.0334,0.1036,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,36,15,1
1,35.036708000000004,-85.30735200000001,4/22/18,,1:58:55,1591 Broad St,33SR027001,4.641,,1,60.09,60.75,57.46,42.45,0.52,4,6,6.07,0.95,0.0368,0.1142,0,1,0,0,0,1,2,2,0,2,4,4,21,1,16,0,0,1
1,35.058188,-85.316377,4/22/18,,2:03:01,210 HIGHWAY 27 NB,33SR029001,0.255,,2,60.02,60.64,57.61,43.48,0.54,4,6,6.45,0.92,0.0372,0.1167,0,1,0,0,0,1,2,2,2,2,6,6,13,1,12,36,18,1
1,35.062458,-85.3136,4/22/18,,2:05:03,120 Frazier Ave,3303619001,0.212,,2,60.0,60.48,57.46,43.36,0.54,4,6,7.03,0.92,0.0377,0.1202,0,1,0,0,0,1,1,2,0,2,2,2,18,4,16,12,15,1
1,35.025148,-85.391036,4/22/18,,2:05:51,200 S Seminole Dr,330C037001,0.244,,2,60.52,60.52,56.27,42.12,0.51,4,6,4.83,0.96,0.0426,0.1329,0,1,0,0,0,1,2,0,0,2,2,2,12,4,19,14,15,1
1,35.035266,-85.163861,4/22/18,,2:32:22,480 I-75 SB,33I0075001,4.977,,2,59.14,60.5,57.44,43.47,0.56,4,6,6.99,0.93,0.0326,0.1056,0,1,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18,1
1,35.025179,-85.314199,4/22/18,,5:23:20,2626 Long St,330A642001,0.121,,5,59.54,60.96,57.52,46.01,0.61,4,6,5.99,0.95,0.0366,0.1127,0,1,0,0,0,1,2,0,0,2,2,2,12,4,19,28,15,2
1,35.035979,-85.10935,4/22/18,,6:25:57,8240 Standifer Gap Rd,3302154001,0.6579999999999999,,6,58.71,59.56,56.78,47.07,0.65,4,6,6.03,0.93,0.0347,0.1101,0,1,0,0,0,1,2,7,0,2,2,2,18,2,16,22,15,2
1,35.055589000000005,-85.268992,4/22/18,,6:44:06,Wilcox Blvd / Sholar Ave,3303556001,0.439,,6,59.57,60.7,57.45,46.76,0.63,4,6,6.89,0.93,0.0385,0.1236,0,1,0,0,0,1,2,2,0,2,4,4,16,4,14,24,15,2
1,35.023098,-85.268934,4/22/18,,10:00:51,2600 E 14TH ST,33SR002001,10.684000000000001,,10,59.52,60.42,57.21,53.33,0.8,4,6,5.31,0.93,0.0358,0.1134,0,1,0,0,0,1,2,2,0,2,4,4,13,1,14,21,15,3
