Accident,Latitude,Longitude,Date,Year,Time,Address,Route,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,DayFrame
1,35.080045,-85.132664,5/16/17,,5:55:03,8001 Volkswagen Dr,3305747001,1.222,,5,61.51,88.3,60.19,58.71,0.91,5,1,6.55,0.11,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,18,4,17,22,15,2
1,35.028893,-85.177195,5/16/17,,7:46:24,Highway 153 Nb / Hwy 153 Nb @ Lee Hwy - Off Ramp,33SR153001,0.563,,7,60.9,88.62,60.9,58.19,0.91,5,1,7.38,0.16,0,0.0,1,0,0,0,0,0,2,4,2,2,6,8,13,1,12,36,15,2
1,35.078577,-85.09515,5/16/17,,7:51:14,1000 I-75 SB,33I0075001,9.956,,7,60.05,87.96,60.05,57.81,0.92,5,1,5.95,0.1,0,0.0,1,0,0,0,0,0,2,0,2,2,8,8,2,1,11,48,18,2
1,35.014081,-85.32559,5/16/17,,7:54:47,3540 Broad St,33SR017001,2.171,,7,61.08,88.7,61.08,57.95,0.89,5,1,5.55,0.15,0,0.0,1,0,0,0,0,0,2,2,0,2,2,2,13,1,14,12,15,2
1,35.073843,-85.112125,5/16/17,,8:06:19,900 I-75 Sb,33I0075001,8.945,,8,62.61,87.75,60.15,59.51,0.9,5,1,5.7,0.1,0,0.0,1,0,0,0,0,0,2,0,2,2,8,10,2,1,11,48,18,2
1,35.017126,-85.280112,5/16/17,,8:10:11,I-24 Wb @ 4th Ave - On Ramp / 4th Ave,3303573001,0.043,,8,63.63,88.52,60.89,59.72,0.87,5,1,6.61,0.13,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,28,15,2
1,35.027231,-85.323459,5/16/17,,8:12:31,17800 I-24 Wb,33I0024002,7.148,,8,63.66,88.73,61.17,59.61,0.87,5,1,5.5,0.15,0,0.0,1,0,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,2
1,35.05196,-85.312922,5/16/17,,8:33:12,210 W 4TH ST,33SR389001,0.05,,8,63.67,88.52,61.07,59.55,0.86,5,1,5.97,0.13,0,0.0,1,0,0,0,0,0,2,2,0,2,3,3,13,1,14,12,18,2
1,35.106044,-85.323949,5/16/17,,8:39:22,936 Mountain Creek,3301147001,0.573,,8,63.65,88.63,61.18,59.44,0.86,5,1,6.45,0.12,0,0.0,1,0,0,0,0,0,2,4,0,2,2,2,18,4,16,28,15,2
1,35.049508,-85.25741500000001,5/16/17,,8:43:40,1300 N CHAMBERLAIN AVE,3304418001,1.3840000000000001,,8,63.95,87.74,61.47,60.1,0.87,5,1,6.19,0.13,0,0.0,1,0,0,0,0,0,2,7,0,2,2,2,18,4,16,36,15,2
1,35.032718,-85.26334399999999,5/16/17,,8:49:30,Glenwood Dr / Oak St,330A675001,0.174,,8,63.68,87.98,61.04,59.93,0.88,5,1,6.43,0.12,0,0.0,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,30,15,2
1,35.031644,-85.26393900000001,5/16/17,,8:52:07,300 DODDS AVE,3305404001,2.8369999999999997,,8,63.66,88.04,61.01,59.9,0.88,5,1,6.45,0.12,0,0.0,1,0,0,0,0,0,2,4,0,2,4,4,16,4,14,24,15,2
1,35.007834,-85.201756,5/16/17,,9:26:15,190 I-75 Sb,33I0075001,1.939,,9,68.63,88.69,60.95,62.03,0.8,5,1,7.56,0.15,0,0.0,1,0,0,0,0,0,2,4,2,2,8,8,2,1,11,48,18,2
1,35.027640999999996,-85.28385300000001,5/16/17,,9:36:04,6242 Perimeter Dr,33SR008001,6.631,,9,68.86,88.56,61.15,62.14,0.79,5,1,6.65,0.14,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,36,15,2
1,35.04574,-85.31045999999999,5/16/17,,11:06:47,W Martin Luther King Blvd / Broad St,33SR316001,0.226,,11,79.09,88.52,61.07,64.15,0.6,5,1,6.36,0.13,0,0.0,1,0,0,0,0,0,2,0,0,2,5,5,13,1,14,24,15,3
1,35.045763,-85.309399,5/16/17,,11:07:35,900 Market St,33SR008001,8.968,,11,79.1,88.52,61.08,64.15,0.6,5,1,6.37,0.13,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,46,15,3
1,35.005877000000005,-85.23172199999999,5/16/17,,12:15:53,400 S Moore Rd,3305771001,1.276,,12,83.07,88.59,60.91,63.72,0.52,5,1,7.25,0.14,0,0.0,1,0,0,0,0,0,2,0,0,1,2,2,18,4,16,44,15,3
1,35.115281,-85.26244,5/16/17,,12:23:08,3901 Hixson Pike,3303587001,1.6269999999999998,,12,82.83,88.55,61.07,63.8,0.53,5,1,7.06,0.12,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,3
1,35.010644,-85.21744100000001,5/16/17,,12:32:32,5600 Brainerd Rd,33SR002001,14.477,,12,83.1,88.68,60.99,63.55,0.52,5,1,7.6,0.15,0,0.0,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,30,15,3
1,35.034503,-85.132998,5/16/17,,12:38:41,2300 JENKINS RD,3301122001,1.446,,12,82.74,88.45,60.44,63.78,0.53,5,1,6.71,0.12,0,0.0,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,22,15,3
1,35.044088,-85.160208,5/16/17,,12:50:59,7000 Shallowford Rd,3303580001,1.915,,12,82.91,88.62,60.72,63.61,0.52,5,1,7.41,0.14,0,0.0,1,0,0,0,0,0,2,2,2,2,4,4,18,4,14,24,15,3
1,35.042118,-85.158427,5/16/17,,12:51:34,2207 OVERNITE DR,330E538001,0.08,,12,82.89,88.6,60.68,63.63,0.52,5,1,7.34,0.14,0,0.0,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,28,15,3
1,35.039377,-85.318217,5/16/17,,12:57:29,HIGHWAY 27 NB / HWY 27 NB @ W MAIN ST - OFF RAMP,33I0124001,0.763,,12,83.28,88.61,61.29,63.87,0.52,5,1,5.98,0.16,0,0.0,1,0,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,3
1,35.035486,-85.31954300000001,5/16/17,,13:00:07,Highway 27 Sb / Hwy 27 Sb @ I-24 Wb - On Ramp,33I0124001,0.474,,13,85.71,88.69,61.19,62.5,0.46,5,1,5.98,0.16,0,0.0,0,1,0,0,0,0,2,5,2,2,6,8,2,1,11,36,15,4
1,35.041545,-85.315177,5/16/17,,13:07:23,80 HIGHWAY 27 SB,33I0124001,1.001,,13,85.65,88.58,61.29,62.49,0.46,5,1,5.97,0.16,0,0.0,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,18,4
1,35.015640999999995,-85.273914,5/16/17,,13:08:58,2301 DODDS AVE,33SR002001,10.084,,13,85.42,88.29,60.7,62.59,0.47,5,1,6.66,0.12,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,13,1,16,24,15,4
1,35.052008,-85.183009,5/16/17,,13:09:03,6110 Shallowford Rd,3303580001,0.46399999999999997,,13,85.39,88.66,61.07,61.94,0.46,5,1,7.87,0.16,0,0.0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,4
1,34.993108,-85.176767,5/16/17,,13:16:09,796 Flinn Dr,330B848001,0.218,,13,85.32,88.6,60.68,62.14,0.46,5,1,6.77,0.13,0,0.0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,26,15,4
1,35.015640999999995,-85.273914,5/16/17,,13:35:36,2301 DODDS AVE,33SR002001,10.084,,13,85.42,88.29,60.7,62.59,0.47,5,1,6.66,0.12,0,0.0,1,0,0,0,0,0,2,2,0,2,4,4,13,1,16,24,15,4
1,35.086587,-85.061222,5/16/17,,14:25:23,6043 Relocation Way,33I0075001,11.907,,14,86.59,88.45,60.01,61.22,0.43,5,1,6.96,0.09,0,0.0,1,0,0,0,0,0,2,0,2,2,6,7,2,1,11,36,18,4
1,35.012702000000004,-85.329263,5/16/17,,14:49:53,1715 W 38th St,330A865001,0.03,,14,86.94,88.58,60.94,61.36,0.42,5,1,5.6,0.15,0,0.0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,4
1,35.086587,-85.061222,5/16/17,,14:50:52,6043 Relocation Way,33I0075001,11.907,,14,86.59,88.45,60.01,61.22,0.43,5,1,6.96,0.09,0,0.0,1,0,0,0,0,0,2,0,2,2,6,7,2,1,11,36,18,4
1,35.05158,-85.21308499999999,5/16/17,,15:10:28,4625 Shallowford Rd,330D500001,0.031,,15,87.89,88.65,61.29,59.68,0.39,5,1,8.03,0.16,0,0.0,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,22,15,4
1,35.102284999999995,-85.330212,5/16/17,,15:26:38,900 Signal Mountain Rd,330A054001,0.027999999999999997,,15,87.6,88.46,61.11,60.69,0.41,5,1,6.69,0.11,0,0.0,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15,4
1,35.015437,-85.253698,5/16/17,,15:38:24,18310-18399 I-24 EB,33I0024002,11.952,,15,87.34,87.97,60.72,60.27,0.4,5,1,6.62,0.12,0,0.0,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,4
1,35.055817,-85.232116,5/16/17,,15:38:38,3500 Garner Rd,3303577001,4.025,,15,87.64,88.27,61.04,60.11,0.4,5,1,7.36,0.14,0,0.0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,20,15,4
1,35.017006,-85.284403,5/16/17,,15:39:00,1903 E 24TH STREET PL,330B672001,0.07200000000000001,,15,88.02,88.66,61.1,60.32,0.4,5,1,6.58,0.14,0,0.0,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,30,15,4
1,35.054827,-85.185631,5/16/17,,16:01:50,2000 Stein Dr,330E652001,0.087,,16,88.59,88.67,61.08,59.13,0.37,5,1,7.85,0.16,0,0.0,0,1,0,0,0,0,2,2,0,2,1,1,12,4,19,10,15,4
1,35.065696,-85.128484,5/16/17,,16:22:40,7801 Lee Hwy,330E479001,0.47100000000000003,,16,87.95,88.12,60.2,60.02,0.39,5,1,6.83,0.11,0,0.0,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,22,15,4
1,35.202686,-85.040345,5/16/17,,16:40:44,9600 HIGHWAY 58,33SR058001,17.942,,16,88.31,88.34,59.65,61.25,0.41,5,1,8.65,0.08,0,0.0,1,0,0,0,0,0,2,0,0,2,2,2,5,1,6,24,15,4
1,34.994473,-85.383525,5/16/17,,16:52:42,650 Wauhatchie Pike,3302199001,0.7390000000000001,,16,88.63,88.64,60.95,59.58,0.38,5,1,5.25,0.14,0,0.0002,0,1,0,0,0,0,2,5,0,2,2,2,18,4,16,24,15,4
1,35.033801000000004,-85.133227,5/16/17,,17:06:36,7900 Shallowford Rd,3303582001,0.015,,17,88.46,88.46,60.45,60.49,0.39,5,1,6.71,0.12,0,0.0,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,22,15,4
1,35.017657,-85.206897,5/16/17,,17:15:51,5969 BRAINERD RD,330B052001,0.039,,17,88.71,88.71,61.15,59.52,0.38,5,1,8.01,0.17,0,0.0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,28,15,4
1,35.021032,-85.261306,5/16/17,,17:34:17,18240 I-24 Eb,33I0024002,11.369000000000002,,17,87.7,87.73,60.81,60.2,0.4,5,1,6.43,0.12,0,0.0,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,4
1,35.098369,-85.327973,5/16/17,,17:35:04,MOUNTAIN CREEK RD / SIGNAL MOUNTAIN RD,33SR008001,13.504000000000001,,17,88.46,88.63,61.19,60.27,0.39,5,1,6.89,0.12,0,0.0,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,4
1,35.009551,-85.240988,5/16/17,,17:36:11,4100 - 4188 S Terrace,330B745001,0.002,,17,88.44,88.44,60.8,60.23,0.39,5,1,7.07,0.14,0,0.0,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,22,15,4
1,35.009992,-85.239405,5/16/17,,17:55:56,4109 N TERRACE,3305770001,1.249,,17,88.45,88.45,60.82,60.2,0.39,5,1,7.12,0.14,0,0.0,0,1,0,0,0,0,2,7,0,1,2,3,18,4,16,34,15,4
1,35.226642,-85.092025,5/16/17,,18:24:35,2600 Igou Ferry Rd,3302158001,3.275,,18,88.26,88.9,60.18,61.1,0.4,5,1,8.63,0.11,0,0.0,1,0,0,0,0,0,2,0,0,2,2,2,18,2,18,22,15,1
1,35.125221999999994,-85.247534,5/16/17,,18:29:28,4800 Hixson Pike,330C853001,0.535,,18,88.12,88.7,61.0,60.44,0.4,5,1,7.6,0.12,0,0.0,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,1
1,35.148123999999996,-85.205958,5/16/17,,18:35:33,5900 - 5999 Cassandra Smith Rd,330E938001,0.001,,18,88.22,88.88,61.12,60.89,0.4,5,1,7.29,0.14,0,0.0,1,0,0,0,0,0,2,4,0,2,2,2,12,4,19,16,15,1
1,35.012306,-85.212241,5/16/17,,18:58:41,5830 Brainerd Rd,33SR002001,14.783,,18,88.23,88.7,61.04,60.14,0.39,5,1,7.72,0.16,0,0.0,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,1
1,35.066887,-85.315455,5/16/17,,19:08:35,450 Cherokee Blvd,33SR008001,10.625,,19,86.22,88.5,61.01,61.09,0.43,5,1,6.9,0.12,0,0.0,0,1,0,0,0,0,2,2,0,2,4,4,21,1,16,48,15,1
1,35.008749,-85.15210400000001,5/16/17,,19:10:10,1414 Jenkins Rd,3305786001,0.054000000000000006,,19,87.04,88.72,60.76,61.04,0.42,5,1,6.96,0.13,0,0.0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,18,15,1
1,35.024747,-85.403859,5/16/17,,19:10:17,4320 Nestledown Ct,330C049001,0.079,,19,85.63,87.87,61.13,60.78,0.43,5,1,5.01,0.12,0,0.0003,0,1,0,0,0,0,2,0,0,2,4,4,11,2,19,20,15,1
1,35.048649,-85.287235,5/16/17,,19:18:11,100 CENTRAL AVE,330A390001,0.17,,19,86.56,88.59,61.23,60.91,0.42,5,1,6.69,0.14,0,0.0,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,14,15,1
1,34.992542,-85.226794,5/16/17,,19:51:52,5603 Ringgold Rd,33SR008001,2.306,,19,86.74,88.67,60.7,60.94,0.42,5,1,7.01,0.14,0,0.0,0,1,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,1
1,35.012865999999995,-85.184238,5/16/17,,20:58:03,300 I-75 Sb,33I0075001,3.01,,20,83.95,88.59,60.8,61.57,0.47,5,1,7.45,0.15,0,0.0,1,0,0,0,0,0,2,2,2,2,8,8,2,1,11,48,18,1
1,35.040711,-85.150139,5/16/17,,21:24:56,7333 Shallowford Rd,3304987001,1.915,,21,79.12,88.53,60.57,62.69,0.57,5,1,6.8,0.13,0,0.0,0,1,0,0,0,0,2,4,0,2,3,3,18,4,16,12,15,1
1,35.198838,-85.33516999999999,5/16/17,,22:35:43,2516 Corral Rd,3301147001,10.673,,22,71.0,85.72,60.36,60.07,0.68,5,1,5.9,0.13,0,0.0,0,1,0,0,0,0,2,0,0,2,2,2,18,2,17,20,15,1
